iteration,total_loss,recon_loss,total_corr,betaVAE_kld,k_sim_loss,k_contrast_loss,lambda_TC,kld_dim1,kld_dim2,kld_dim3,kld_dim4,kld_dim5,kld_dim6,kld_dim7,kld_dim8,kld_dim9,kld_dim10
2340,521.92,134.38,5.66,68.46,2.21,2.29,2.4066171646118164,6.6448584,6.4031286,6.984819,6.728513,6.77695,6.8075905,6.9502974,7.575408,6.9292483,6.656766
2360,520.96,127.52,5.79,69.18,2.3,2.61,2.4066171646118164,6.9767723,6.4322157,7.15637,6.861566,6.6263137,6.631652,7.09983,7.817737,7.052337,6.5239115
2380,509.93,124.87,5.86,66.67,2.22,2.7,2.4066171646118164,6.609379,6.529236,6.738283,6.497984,6.643007,6.2949753,7.011222,7.2244625,6.575258,6.5428944
2400,518.58,118.75,6.34,67.21,1.89,2.52,2.5269479751586914,6.3812466,6.2763786,6.5076857,6.687213,6.8428397,6.497073,6.9035654,7.680916,6.858024,6.5742393
2420,536.14,134.22,5.59,71.48,2.51,2.45,2.5269479751586914,6.5409813,6.9870796,7.324768,6.782365,7.039617,6.9994507,7.318166,8.3313465,7.1117783,7.043213
2440,536.14,136.79,6.03,68.01,2.23,2.78,2.5269479751586914,6.696002,6.648921,7.240056,6.7926693,6.65158,6.658761,6.758896,7.26975,6.7494674,6.544019
2460,516.96,120.31,6.14,66.6,2.16,2.62,2.5269479751586914,6.714942,6.5003066,6.969226,6.643729,6.459999,6.595676,6.5346923,7.111664,6.61862,6.4551992
2480,514.49,120.92,5.96,67.1,2.04,2.86,2.5269479751586914,6.7605286,6.585769,7.0600195,6.754255,6.40435,6.5485973,6.7282467,7.104842,6.619936,6.537351
2500,518.77,129.18,5.94,66.17,1.75,2.34,2.6532952785491943,6.549709,6.6746206,7.0963593,6.363479,6.4920015,6.5820236,6.6022277,6.771955,6.538633,6.503854
2520,517.34,125.91,5.61,67.8,1.7,2.22,2.6532952785491943,6.664754,6.6351614,7.0603576,6.7266674,6.8586645,6.4796667,7.018173,7.190152,6.5811157,6.581758
2540,533.15,136.99,5.64,68.65,2.0,2.12,2.6532952785491943,6.71132,6.581827,7.260993,6.9890323,6.860952,6.6762114,7.0279207,7.111767,6.678664,6.752142
2560,522.33,130.37,5.93,65.71,1.85,2.33,2.6532952785491943,6.627651,6.4327717,6.9053383,6.5131416,6.5078077,6.645227,6.682351,6.4240947,6.521261,6.4524093
2580,526.55,135.48,5.36,69.48,1.66,2.46,2.6532952785491943,6.867696,6.641683,7.3435073,6.856002,6.877723,6.784664,7.2934904,7.069083,6.8649187,6.880104
2600,529.02,135.82,5.68,67.75,2.03,2.51,2.7859599590301514,6.940883,6.4968233,7.3286185,6.724229,6.6408987,6.778945,6.844365,6.795456,6.6439734,6.5552254
2620,526.72,133.13,5.86,65.48,1.79,2.36,2.7859599590301514,6.6873684,6.311388,6.8327913,6.8097105,6.475456,6.5576377,6.500343,6.5907116,6.3489604,6.3704505
2640,515.35,122.61,5.96,64.47,1.88,2.17,2.7859599590301514,6.721263,6.3369446,6.6585712,6.6337147,6.582523,6.3221703,6.398903,6.3143897,6.156741,6.3486056
