iteration,total_loss,recon_loss,total_corr,betaVAE_kld,k_sim_loss,k_contrast_loss,lambda_TC,kld_dim1,kld_dim2,kld_dim3,kld_dim4,kld_dim5,kld_dim6,kld_dim7,kld_dim8,kld_dim9,kld_dim10
1680,2396.74,256.53,27.65,9.3,0.28,0.4,1.0,2.23,2.22,0.6,0.61,0.43,0.46,0.81,0.69,0.53,0.71
1700,2342.23,262.81,28.6,8.42,0.25,0.43,1.0,2.04,2.06,0.71,0.37,0.53,0.67,0.56,0.45,0.4,0.63
1720,2425.57,261.1,29.09,8.39,0.31,0.53,1.0,1.99,2.0,0.66,0.46,0.51,0.66,0.61,0.49,0.39,0.6
1740,2456.39,269.36,29.51,8.08,0.33,0.51,1.0,1.96,1.92,0.48,0.49,0.59,0.52,0.52,0.42,0.62,0.56
1760,2371.13,254.15,27.69,9.03,0.28,0.45,1.0,2.1,2.1,0.66,0.57,0.58,0.58,0.69,0.55,0.58,0.62
1780,2412.59,288.8,29.42,8.01,0.28,0.47,1.0,1.86,1.92,0.65,0.43,0.54,0.63,0.47,0.36,0.59,0.55
1800,2382.88,255.82,29.07,8.56,0.25,0.45,1.0,2.08,2.15,0.57,0.47,0.46,0.58,0.63,0.53,0.47,0.64
1820,2352.76,247.79,27.55,9.1,0.27,0.5,1.0,2.18,2.18,0.5,0.66,0.51,0.47,0.67,0.57,0.66,0.71
1840,2377.99,256.39,27.79,9.23,0.26,0.41,1.0,2.17,2.14,0.55,0.65,0.46,0.5,0.8,0.73,0.49,0.74
1860,2410.55,268.07,27.74,9.39,0.27,0.46,1.0,2.2,2.22,0.62,0.56,0.55,0.55,0.69,0.52,0.69,0.78
1880,2364.07,254.28,28.7,8.45,0.27,0.41,1.0,1.98,2.0,0.68,0.38,0.62,0.64,0.68,0.49,0.37,0.62
1900,2413.97,276.26,27.28,9.62,0.27,0.45,1.0,2.17,2.19,0.72,0.62,0.67,0.6,0.82,0.58,0.63,0.62
1920,2352.79,245.39,27.41,9.44,0.25,0.46,1.0,2.19,2.21,0.74,0.65,0.46,0.59,0.84,0.59,0.48,0.68
1940,2385.99,271.96,28.66,8.42,0.28,0.47,1.0,2.02,2.05,0.62,0.41,0.55,0.59,0.63,0.5,0.4,0.64
1960,2337.63,246.21,27.86,9.02,0.25,0.39,1.0,2.04,2.08,0.67,0.55,0.66,0.69,0.68,0.46,0.56,0.63
1980,2280.31,236.68,28.1,8.45,0.24,0.44,1.0,1.96,1.98,0.54,0.59,0.5,0.53,0.71,0.51,0.55,0.59
2000,2401.33,270.91,27.45,9.51,0.26,0.43,1.0,2.16,2.17,0.64,0.72,0.56,0.66,0.8,0.58,0.63,0.61
2020,2320.69,255.58,27.46,8.91,0.25,0.4,1.0,2.03,2.08,0.5,0.69,0.51,0.55,0.66,0.57,0.68,0.63
2040,2314.06,237.46,29.07,7.98,0.26,0.39,1.0,1.96,1.99,0.41,0.51,0.5,0.43,0.58,0.44,0.57,0.58
2060,2398.87,237.24,28.15,9.2,0.28,0.41,1.0,2.1,2.13,0.8,0.47,0.65,0.75,0.75,0.44,0.48,0.64
2080,2374.58,252.48,27.65,9.55,0.24,0.41,1.0,2.22,2.2,0.58,0.7,0.45,0.52,0.92,0.77,0.42,0.77
2100,2344.42,254.21,28.48,8.51,0.26,0.38,1.0,2.02,2.08,0.53,0.49,0.46,0.43,0.61,0.51,0.68,0.71
2120,2438.51,277.89,27.91,9.16,0.3,0.39,1.0,2.15,2.12,0.52,0.65,0.56,0.57,0.79,0.65,0.48,0.66
2140,2372.69,255.4,28.07,8.95,0.27,0.38,1.0,2.14,2.15,0.55,0.6,0.43,0.5,0.76,0.59,0.52,0.69
2160,2362.27,258.95,28.82,8.71,0.23,0.39,1.0,2.05,2.06,0.52,0.56,0.62,0.56,0.61,0.49,0.66,0.59
2180,2376.24,271.97,27.62,9.17,0.26,0.5,1.0,2.09,2.13,0.57,0.71,0.5,0.51,0.73,0.54,0.67,0.71
2200,2365.26,250.73,28.94,8.2,0.28,0.4,1.0,1.97,2.0,0.54,0.46,0.59,0.57,0.56,0.43,0.51,0.56
2220,2371.02,262.95,27.3,9.71,0.23,0.41,1.0,2.32,2.34,0.63,0.58,0.48,0.53,0.83,0.68,0.57,0.75
2240,2421.9,264.86,27.3,9.5,0.3,0.46,1.0,2.22,2.2,0.58,0.63,0.58,0.57,0.76,0.64,0.61,0.72
2260,2384.57,253.71,29.05,8.05,0.31,0.42,1.0,1.96,1.93,0.46,0.52,0.61,0.59,0.53,0.44,0.47,0.54
